37,16.253,945.426,953.256,935.305,934.789,956.630,975.482,945.242,943.601,958.215,955.535,935.360,972.168,932.634,949.847,937.318,943.418,937.121,925.786,941.448,949.625,947.133,932.065,938.198,925.902,936.955,933.040,945.967,956.221,944.268,938.871,941.075,956.859,915.427,947.871,954.297,964.092,920.476,937.910,955.865,940.649,947.657,928.520,962.632,941.963,919.001,962.821,950.496,910.518,960.349,925.964,962.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,13.747,950.668,957.590,940.030,939.823,961.985,980.282,949.707,950.686,963.447,959.635,942.207,977.189,938.601,954.557,943.868,948.414,942.947,930.934,946.344,953.765,952.860,936.886,943.841,931.417,942.051,939.145,951.532,961.883,948.465,942.988,947.509,961.269,921.701,951.967,959.410,969.091,926.703,944.686,961.015,945.104,953.068,933.947,967.794,947.206,925.343,967.793,954.738,916.977,965.482,931.960,967.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11.319,954.377,960.618,943.356,943.376,965.781,983.654,952.837,955.782,967.143,962.498,947.123,980.725,942.857,957.863,948.567,951.935,947.106,934.581,949.799,956.661,956.928,940.287,947.841,935.344,945.655,943.495,955.473,965.904,951.408,945.872,952.110,964.366,926.193,954.829,963.012,972.610,931.155,949.554,964.651,948.235,956.892,937.801,971.440,950.923,929.889,971.285,957.710,921.612,969.106,936.246,971.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9.122,957.078,962.801,945.770,945.958,968.550,986.095,955.100,959.543,969.831,964.562,950.745,983.292,945.976,960.256,952.028,954.491,950.158,937.240,952.312,958.752,959.901,942.760,950.758,938.220,948.278,946.682,958.344,968.842,953.536,947.956,955.490,966.609,929.496,956.894,965.626,975.164,934.425,953.143,967.293,950.504,959.674,940.617,974.092,953.635,933.234,973.812,959.859,925.028,971.741,939.394,974.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7.295,959.123,964.442,947.593,947.911,970.651,987.936,956.803,962.423,971.865,966.112,953.514,985.231,948.351,962.059,954.675,956.423,952.483,939.255,954.212,960.324,962.159,944.630,952.970,940.409,950.265,949.106,960.519,971.073,955.139,949.525,958.068,968.299,932.017,958.446,967.600,977.091,936.918,955.889,969.291,952.216,961.779,942.755,976.099,955.692,935.790,975.716,961.477,927.639,973.733,941.794,976.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5.952,960.749,965.738,949.039,949.461,972.324,989.393,958.151,964.732,973.481,967.338,955.731,986.769,950.247,963.487,956.793,957.956,954.341,940.858,955.721,961.568,963.957,946.115,954.729,942.155,951.845,951.041,962.249,972.850,956.408,950.767,960.129,969.639,934.033,959.672,969.165,978.620,938.911,958.089,970.877,953.572,963.452,944.459,977.693,957.330,937.835,977.223,962.757,929.731,975.316,943.713,978.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5.177,962.117,966.824,950.253,950.764,973.731,990.616,959.281,966.685,974.839,968.363,957.606,988.060,951.846,964.684,958.585,959.244,955.908,942.208,956.990,962.609,965.472,947.363,956.210,943.627,953.173,952.672,963.704,974.347,957.472,951.808,961.869,970.762,935.736,960.698,970.479,979.904,940.593,959.949,972.209,954.710,964.857,945.894,979.033,958.708,939.563,978.487,963.829,931.499,976.646,945.333,980.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5.020,963.340,967.791,951.337,951.929,974.991,991.707,960.289,968.440,976.054,969.277,959.289,989.213,953.279,965.753,960.193,960.394,957.313,943.415,958.123,963.538,966.828,948.478,957.536,944.946,954.361,954.134,965.006,975.687,958.421,952.736,963.430,971.764,937.264,961.614,971.653,981.050,942.103,961.620,973.401,955.726,966.115,947.178,980.231,959.941,941.115,979.616,964.787,933.087,977.835,946.786,981.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5.489,964.507,968.713,952.371,953.039,976.192,992.748,961.250,970.119,977.213,970.147,960.899,990.313,954.648,966.772,961.729,961.491,958.654,944.567,959.203,964.423,968.123,949.541,958.801,946.204,955.493,955.530,966.248,976.966,959.325,953.620,964.921,972.719,938.725,962.486,972.774,982.143,943.545,963.218,974.538,956.694,967.314,948.404,981.373,961.117,942.598,980.692,965.698,934.605,978.968,948.173,982.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6.557,965.693,969.650,953.420,954.169,977.411,993.805,962.226,971.826,978.390,971.031,962.537,991.431,956.039,967.808,963.291,962.606,960.016,945.738,960.300,965.321,969.438,950.620,960.088,947.483,956.644,956.950,967.511,978.264,960.243,954.517,966.436,973.689,940.209,963.371,973.913,983.253,945.011,964.842,975.693,957.677,968.534,949.648,982.533,962.311,944.107,981.787,966.624,936.147,980.118,949.583,983.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
